label,N_mean,N_median,N_min,N_max,P_mean,P_median,P_min,P_max,K_mean,K_median,K_min,K_max,Humidity_mean,Humidity_median,Humidity_min,Humidity_max,ph_mean,ph_median,ph_min,ph_max,Temperature_mean,Temperature_median,Temperature_min,Temperature_max
apple,20.8,24.0,0,40,134.22,136.5,120,145,199.89,200.0,120,200,92.33,92.42,90.03,94.92,5.93,5.89,5.0,7.0,22.630942,22.62829,21.036527,23.996862
banana,100.23,100.5,80,120,82.01,81.0,70,95,50.05,50.0,0,120,80.36,80.22,75.03,84.98,5.98,5.99,5.0,7.5,27.376798,27.443333,25.010185,29.908885
blackgram,40.02,41.0,20,60,67.47,67.0,55,80,19.24,19.0,0,80,65.12,65.03,60.07,69.96,7.13,7.17,6.0,8.0,29.97334,29.655515,25.097374,34.946616
chickpea,40.09,39.0,20,60,67.79,68.0,55,80,79.92,79.0,55,80,16.86,16.66,14.26,19.97,7.34,7.36,6.5,8.5,18.872847,18.878291,17.024985,20.995022
coconut,21.98,24.0,0,40,16.93,15.5,5,30,30.59,31.0,5,30,94.84,94.96,90.02,99.98,5.98,5.99,5.0,6.5,27.409892,27.385317,25.008724,29.869083
coffee,101.2,103.0,80,120,28.74,29.0,15,40,29.94,30.0,15,40,58.87,57.65,50.05,69.95,6.79,6.8,6.0,7.0,25.540477,25.656643,23.059519,27.923744
cotton,117.77,117.0,100,140,46.24,46.0,35,60,19.56,19.0,19,60,79.84,80.01,75.01,84.88,6.91,6.84,6.5,7.5,23.988958,23.964997,22.000851,25.992374
grapes,23.18,24.0,0,40,132.53,133.0,120,145,200.11,201.0,120,200,81.87,81.72,80.02,83.98,6.03,6.0,5.0,7.0,23.849575,23.018528,8.825675,41.948657
jute,78.4,78.0,60,100,46.86,46.0,35,60,39.99,40.0,15,60,79.64,79.47,70.88,89.89,6.73,6.71,5.5,7.5,24.958376,24.971106,23.094338,26.985822
kidneybeans,20.75,22.0,0,40,67.54,67.0,55,80,20.05,20.0,19,80,21.61,21.35,18.09,24.97,5.75,5.75,5.0,7.0,20.115085,19.924037,15.330426,24.923601
lentil,18.77,16.5,0,40,68.36,68.0,55,80,19.41,19.0,19,80,64.8,64.09,60.09,69.92,6.93,6.95,6.0,7.5,24.509052,24.946835,18.064861,29.944139
maize,77.76,76.0,60,100,48.44,48.5,35,60,19.79,20.0,15,60,65.09,65.3,55.28,74.83,6.25,6.26,5.0,7.0,22.389204,22.844456,18.041855,26.549864
mango,20.07,21.0,0,40,27.18,27.5,15,40,29.92,30.0,15,40,50.16,50.28,45.02,54.96,5.77,5.74,5.0,6.5,31.20877,31.300223,27.003155,35.990097
mothbeans,21.44,22.0,0,40,48.01,48.5,35,60,20.23,20.0,19,60,53.16,53.67,40.01,64.96,6.83,7.22,6.5,8.0,28.19492,28.370863,24.018254,31.999286
mungbean,20.99,22.0,0,40,47.28,47.0,35,60,19.87,20.0,19,60,85.5,85.95,80.03,89.99,6.72,6.7,6.5,8.0,28.525775,28.441673,27.014704,29.914544
muskmelon,100.32,100.0,80,120,17.72,18.0,5,30,50.08,50.0,5,30,92.34,92.11,90.02,94.96,6.36,6.35,5.5,7.0,28.663066,28.851775,27.024151,29.943492
orange,19.58,19.0,0,40,16.55,16.0,5,30,10.01,10.0,5,30,92.17,91.96,90.01,94.96,7.02,7.01,6.5,7.5,22.765725,22.901055,10.010813,34.906653
papaya,49.88,49.0,31,70,59.05,60.0,46,70,50.04,50.0,46,70,92.4,92.68,90.04,94.94,6.74,6.78,6.0,7.5,33.723859,33.26287,23.012402,43.675493
pigeonpeas,20.73,20.0,0,40,67.73,69.5,55,80,20.29,20.0,55,80,48.06,47.2,30.4,69.69,5.79,5.8,5.5,6.5,27.741762,28.931707,18.319104,36.977944
pomegranate,18.87,18.0,0,40,18.75,20.0,5,30,40.21,40.0,5,30,90.13,89.91,85.13,94.99,6.43,6.41,6.0,7.5,21.837842,22.354425,18.07133,24.962732
rice,79.89,80.0,60,99,47.58,47.0,35,60,39.87,40.0,35,60,82.27,82.19,80.12,84.97,6.43,6.44,6.0,7.5,23.689332,23.734837,20.045414,26.929951
watermelon,99.42,99.0,80,120,17.0,17.5,5,30,50.22,50.5,5,30,85.16,85.03,80.03,89.98,6.5,6.51,6.0,7.5,25.591767,25.603965,24.043558,26.986037
